Sex,Ethnicity,College,Curriculum
F,White,AGRI,ADP
M,White,BADM,ACCT
F,White,AGRI,ADP
M,White,ENGR,ME
F,Asian,ADSN,LA
M,White,GRAD,PBDM
M,White,ENGR,ME
M,White,BADM,FIN
M,White,SCI,BIOL
F,White,L,JDCL
M,White,L,JDCL
F,White,BADM,FIN
F,White,VETM,VMED
F,Asian,GRAD,MBADM
M,White,HSE,KIN
F,White,HSS,FREN
F,White,BADM,GBUS
F,Hispanic,ENGR,PETE
F,White,SCI,MATH
M,White,HSS,ENGL
M,White,BADM,FIN
F,White,HSS,LIBAR
F,White,AGRI,NFS
M,White,ENGR,ME
M,White,GRAD,SKIN
F,White,GRAD,SKIN
M,White,ENGR,CM
F,White,HSS,PSYCS
F,White,GRAD,MBADM
M,White,ENGR,CM
M,White,BADM,GBUS
F,White,ENGR,CHE
M,White,ADSN,ARCH
F,White,AGRI,NREM
F,Hispanic,GRAD,PCOMP
M,White,GRAD,PME
M,White,L,JDCL
F,Asian,ENGR,CE
F,White,GRAD,MBADM
F,White,ENGR,CHE
F,Hispanic,SCI,BCH
F,White,BADM,ACCT
F,Black or African American,SCI,BIOL
F,Black or African American,MCOM,MC
M,White,ENGR,EEC
F,White,HSE,KIN
F,White,L,JD
M,Multi-Racial,BADM,ECONS
M,White,ENGR,ME
F,White,MCOM,MC
M,White,ENGR,ME
M,Asian,BADM,MGT
F,White,HSS,COMD
F,White,BADM,MGT
F,White,HSE,ELED
M,White,MCOM,MC
M,White,HSE,SPADM
M,White,SCI,BIOL
F,White,HSE,KIN
M,White,SCI,BIOL
M,Asian,ENGR,PETE
M,White,HSE,SPADM
F,White,HSE,CFS
F,White,AGRI,TAM
F,Black or African American,HSE,KIN
M,White,ENGR,PETE
M,White,GRAD,PSOCL
F,White,SCI,BIOL
F,White,GRAD,MMC
M,White,BADM,ACCT
M,White,ENGR,CM
M,Hispanic,BADM,FIN
M,White,ENGR,PETE
F,White,HSE,KIN
F,Black or African American,HSE,ELED
M,White,BADM,ACCT
F,White,HSE,SPADM
F,Black or African American,HSS,CMST
F,White,HSE,KIN
M,White,ENGR,PETE
M,White,GRAD,MBADM
M,White,HSS,HIST
F,Hispanic,BADM,MGT
F,White,GRAD,DMUS
F,White,HSS,PSYCS
F,White,HSS,PSYCS
F,Black or African American,MCOM,MC
F,Black or African American,HSE,SPADM
F,White,GRAD,MSW
M,White,ENGR,CHE
M,White,ENGR,ME
F,White,HSE,ELED
F,White,MCOM,MC
M,White,AGRI,NREM
F,White,VETM,VMED
F,Hispanic,SCI,BIOL
M,Black or African American,BADM,MGT
M,Black or African American,HSS,PHIL
F,White,HSE,ELED
M,White,VETM,VMED
F,White,HSE,SPADM
F,White,GRAD,MSW
F,White,GRAD,SKIN
F,Black or African American,HSE,CFS
M,White,BADM,GBUS
F,White,HSS,PSYCS
F,White,GRAD,MSW
F,White,HSS,ENGL
F,White,ENGR,CM
M,White,HSS,PHIL
F,Hispanic,ENGR,PETE
F,White,BADM,MKT
F,Black or African American,HSE,KIN
F,Black or African American,HSS,SOCL
F,White,GRAD,MFACW
M,White,GRAD,SKIN
F,White,GRAD,ACMST
F,White,AGRI,NFS
F,White,HSS,IS
M,White,ENGR,PETE
F,White,HSE,KIN
M,Multi-Racial,ENGR,ME
M,White,GRAD,AANTH
M,White,GRAD,PHIST
F,White,AGRI,NFS
F,White,MCOM,MC
F,White,HSS,PHIL
F,White,ADSN,ID
F,White,HSE,KIN
F,Black or African American,HSS,ENGL
F,White,HSE,KIN
M,White,HSS,HIST
M,White,ENGR,ME
M,White,SCI,MATH
F,White,HSE,CFS
M,White,BADM,ECONS
F,White,HSS,SOCL
M,White,ENGR,PETE
F,Asian,GRAD,SCECO
M,White,ENGR,PETE
F,White,GRAD,AELRC
F,White,BADM,MKT
M,White,ENGR,PETE
F,White,BADM,MKT
F,White,GRAD,SKIN
M,Hispanic,ENGR,PETE
F,White,HSE,ELED
M,White,HSS,ENGL
F,Asian,SCI,BIOL
F,White,HSS,COMD
F,White,BADM,MKT
M,White,HSS,FREN
F,White,HSS,CMST
M,White,ENGR,PETE
F,White,BADM,ISDS
F,White,GRAD,SACCT
F,Black or African American,MDA,MUSED
F,White,HSE,ELED
M,Asian,ENGR,CM
F,Multi-Racial,HSS,PSYCS
M,White,ENGR,CE
F,White,GRAD,MMUS
M,White,ADSN,ARCH
F,Black or African American,AGRI,NREM
F,White,L,JDCL
F,White,ENGR,CHE
M,White,ENGR,CHE
F,White,L,JDCL
F,White,BADM,MKT
F,Asian,GRAD,SACCT
F,White,HSE,CFS
M,White,ENGR,ME
F,White,MCOM,MC
M,White,HSE,SPADM
F,White,HSS,IS
F,White,GRAD,ACOMD
M,White,BADM,FIN
F,White,AGRI,NFS
M,Asian,ENGR,EE
F,White,HSS,PSYCS
M,White,HSS,HIST
F,White,HSE,CFS
F,White,AGRI,ENSYS
M,White,SCI,BIOL
M,White,ADSN,ARCH
F,Black or African American,HSE,PK3CT
F,White,BADM,MKT
F,Black or African American,BADM,GBUS
F,Black or African American,BADM,MKT
M,White,ENGR,PETE
F,Hispanic,AGRI,AGBU
F,Black or African American,HSE,KIN
F,Multi-Racial,MDA,THTR
F,Black or African American,GRAD,MSW
F,White,ENGR,CHE
M,Multi-Racial,HSS,IS
F,White,BADM,FIN
F,Hispanic,BADM,MKT
M,White,SCI,BIOL
M,White,HSE,ATRN
F,White,HSS,HIST
F,White,BADM,MKT
M,White,GRAD,SADPA
M,White,L,JD
