hotel,NoofRooms,NoofRoomsOccupied,OccupancyRate,AverageRoomRate,RoomRevenue,FBRevenue,RoomDep,FBDep,AdmDep,OtherDep,Month,location
GrandHotelTaipei,489,10616,0.7003,3216,34144862,40708195,199,218,127,63,2012-07-01,Taipei
AmbassadorHotelTaipei,422,10286,0.7863,3599,37021142,74305690,121,276,36,50,2012-07-01,Taipei
ImperialHotelTaipei,288,3280,0.3674,2581,8467288,5346639,91,60,5,44,2012-07-01,Taipei
GloriaPrinceHotelTaipei,210,5423,0.833,2999,16264519,10036327,78,81,73,13,2012-07-01,Taipei
EmperorHotel,98,1342,0.4417,1829,2454555,462350,33,11,20,0,2012-07-01,Taipei
HotelRiverviewTaipei,214,5132,0.7736,1964,10077052,1811367,54,19,16,0,2012-07-01,Taipei
CaesarParkTaipei,433,11665,0.869,3272,38162559,18623845,65,92,23,41,2012-07-01,Taipei
GoldenChinaHotel,215,4313,0.6471,2378,10254645,11414566,58,93,42,0,2012-07-01,Taipei
SanWant,268,7481,0.9005,3181,23798643,35277809,86,223,67,0,2012-07-01,Taipei
BrotherHotelTaipei,250,5690,0.7342,2796,15908082,38163893,110,295,72,13,2012-07-01,Taipei
SantosHotel,287,5982,0.6724,2420,14475330,9413320,82,66,36,28,2012-07-01,Taipei
LandisTaipei,209,5296,0.8174,3929,20809727,15496668,75,135,40,41,2012-07-01,Taipei
UnitedHotel,243,3937,0.5226,2486,9786987,2883971,69,37,5,36,2012-07-01,Taipei
SheratonGrandeTaipeiHotel,688,14778,0.6929,5204,76909959,105667892,233,452,162,49,2012-07-01,Taipei
HotelRoyalNikkoTaipei,202,5762,0.9202,4245,24462175,15931596,75,145,25,45,2012-07-01,Taipei
HowardPlazaHotelTaipei,606,10102,0.5377,3740,37782e3,40045e3,255,362,78,83,2012-07-01,Taipei
GrandHyattTaipei,852,14961,0.5664,4732,70793467,62239760,154,324,197,60,2012-07-01,Taipei
RegentTaipei,538,11982,0.7184,5106,61178598,115396418,239,505,145,21,2012-07-01,Taipei
SherwoodTaipei,343,7436,0.6993,4969,36949450,24467078,145,227,53,57,2012-07-01,Taipei
ShangriLasFarEasternPlazaHotelTaipei,420,8134,0.6247,5959,48470292,65043603,213,267,67,88,2012-07-01,Taipei
WestinTaipei,279,5463,0.6316,4860,26548570,54856444,142,385,99,0,2012-07-01,Taipei
MiramarGardenTaipei,203,5795,0.9209,2310,13386277,6980567,90,60,46,0,2012-07-01,Taipei
WTaipei,405,8534,0.6797,7998,68256244,58551779,169,209,112,0,2012-07-01,Taipei
LeMeridienTaipei,160,3456,0.6968,7106,24557372,57158866,84,291,81,27,2012-07-01,Taipei
FirstHotel,176,4682,0.8581,1843,8630341,6036546,17,0,14,10,2012-07-01,Taipei
LeofooHotelTaipei,225,6177,0.8856,1732,10695838,10319302,50,92,14,20,2012-07-01,Taipei
RivieraHotel,112,1979,0.57,2943,5823403,3836480,49,44,29,0,2012-07-01,Taipei
TaipeiGalaHotel,150,3920,0.843,2718,10656202,5224821,38,53,26,14,2012-07-01,Taipei
CosmosHotelTaipei,213,6318,0.9568,2557,16155332,25887909,63,17,10,7,2012-07-01,Taipei
PalaisdeChineHotel,286,5935,0.6694,4400,26114723,33399876,123,182,65,0,2012-07-01,Taipei
CapitalHotel,127,3016,0.7661,4469,13478900,5036879,29,51,10,7,2012-07-01,Taipei
RadiumKagayaInternationalHotel,90,652,0.2337,6262,4082733,8586162,77,49,29,14,2012-07-01,Taipei
FullonHotelTaipeiCentral,120,2901,0.7798,3113,9030434,13622518,46,95,10,11,2012-07-01,Taipei
TaipeiGardenHotel,241,6957,0.9312,2205,15338088,21287782,77,114,18,28,2012-07-01,Taipei
GrandViewResortBeitou,66,410,0.2004,8514,3490636,4358592,50,44,2,26,2012-07-01,Taipei
GrandHotelTaipei,489,10561,0.6967,3404,35949979,37682517,199,218,127,63,2012-08-01,Taipei
AmbassadorHotelTaipei,422,10667,0.8154,3505,37389589,69457521,127,283,23,63,2012-08-01,Taipei
ImperialHotelTaipei,288,7609,0.8523,2563,19504595,9032377,94,64,5,42,2012-08-01,Taipei
GloriaPrinceHotelTaipei,211,5649,0.8636,2903,16399573,6096926,82,85,74,13,2012-08-01,Taipei
EmperorHotel,98,1843,0.6066,1681,3098105,759005,33,11,20,0,2012-08-01,Taipei
HotelRiverviewTaipei,215,5933,0.8902,1921,11394785,1623032,56,21,17,0,2012-08-01,Taipei
CaesarParkTaipei,478,13937,0.9405,3246,45234596,16718082,76,90,22,41,2012-08-01,Taipei
GoldenChinaHotel,215,4462,0.6695,2424,10815030,10231614,57,91,41,0,2012-08-01,Taipei
SanWant,268,7402,0.8909,3149,23311641,28507942,86,218,67,0,2012-08-01,Taipei
BrotherHotelTaipei,250,5029,0.6489,2857,14370189,38605835,110,295,72,13,2012-08-01,Taipei
SantosHotel,287,5969,0.6709,2521,15050621,8190961,77,64,36,28,2012-08-01,Taipei
LandisTaipei,209,5651,0.8722,4024,22738261,14550145,78,138,40,40,2012-08-01,Taipei
UnitedHotel,243,4428,0.5878,2454,10866340,3037820,71,39,5,39,2012-08-01,Taipei
SheratonGrandeTaipeiHotel,688,17079,0.8008,5393,92108801,100384409,233,461,165,48,2012-08-01,Taipei
HotelRoyalNikkoTaipei,202,5875,0.9382,4287,25186638,17374646,74,139,25,44,2012-08-01,Taipei
HowardPlazaHotelTaipei,606,11515,0.613,3747,43145e3,38566e3,253,358,80,84,2012-08-01,Taipei
GrandHyattTaipei,555,5921,0.3441,4920,29131469,31108338,152,325,177,66,2012-08-01,Taipei
RegentTaipei,538,14044,0.8421,5342,75027601,108650945,237,481,146,21,2012-08-01,Taipei
SherwoodTaipei,343,7509,0.7062,4970,37319389,25591784,142,223,56,60,2012-08-01,Taipei
